942,NULL,"Detroit, MI (DTW) "," 8:35 AM","Cancun, Mexico (CUN)"," 12:07 PM",Aircraft: Boeing 737-900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,59933CFD-306A-4AED-B828-F92810BEDA09
943,NULL,"Cancun, Mexico (CUN) "," 3:16 PM","Detroit, MI (DTW)"," 6:57 PM",Aircraft: Boeing 737-800,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,37A54A80-80F7-4819-9764-17817CB944E5
944,NULL,"Detroit, MI (DTW) "," 8:35 AM","Cancun, Mexico (CUN)"," 12:07 PM",Aircraft: Boeing 737-900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,37A54A80-80F7-4819-9764-17817CB944E5
945,NULL,"Cancun, Mexico (CUN) "," 1:53 PM","Detroit, MI (DTW)"," 5:33 PM",Aircraft: Boeing 737-900,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,04FBBD6B-79B5-437B-B6F9-7E90CB841532
946,NULL,"Detroit, MI (DTW) "," 8:35 AM","Cancun, Mexico (CUN)"," 12:07 PM",Aircraft: Boeing 737-900,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,04FBBD6B-79B5-437B-B6F9-7E90CB841532
947,NULL,"Atlanta, GA (ATL) "," 3:41 PM","Detroit, MI (DTW)"," 5:30 PM",Aircraft: Airbus A321,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,C8A1B307-3CD1-492B-A023-0492CA6356C6
948,NULL,"Cancun, Mexico (CUN) "," 9:30 AM","Atlanta, GA (ATL)"," 11:57 AM",Aircraft: Boeing 757,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,C8A1B307-3CD1-492B-A023-0492CA6356C6
949,NULL,"Detroit, MI (DTW) "," 10:15 AM","Cancun, Mexico (CUN)"," 1:47 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,C8A1B307-3CD1-492B-A023-0492CA6356C6
950,NULL,"Cancun, Mexico (CUN) "," 3:16 PM","Detroit, MI (DTW)"," 6:57 PM",Aircraft: Boeing 737-800,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,5B966A9C-8353-4B9B-8A3C-715DDD186379
951,NULL,"Detroit, MI (DTW) "," 10:15 AM","Cancun, Mexico (CUN)"," 1:47 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,5B966A9C-8353-4B9B-8A3C-715DDD186379
952,NULL,"Cancun, Mexico (CUN) "," 1:53 PM","Detroit, MI (DTW)"," 5:33 PM",Aircraft: Boeing 737-900,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,9CD8C998-1C0F-4228-A91E-9F6563DA6C13
953,NULL,"Detroit, MI (DTW) "," 10:15 AM","Cancun, Mexico (CUN)"," 1:47 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,9CD8C998-1C0F-4228-A91E-9F6563DA6C13
954,NULL,"Cancun, Mexico (CUN) "," 3:16 PM","Detroit, MI (DTW)"," 6:57 PM",Aircraft: Boeing 737-800,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,497B1E8D-9F51-483E-AFCE-41027B04EEF3
955,NULL,"Detroit, MI (DTW) "," 10:15 AM","Cancun, Mexico (CUN)"," 1:47 PM",Aircraft: Boeing 737-800,Stop: 0,66,0,1,Sun 11/01/2020,Sun 11/01/2020,497B1E8D-9F51-483E-AFCE-41027B04EEF3
956,NULL,"Cancun, Mexico (CUN) "," 1:53 PM","Detroit, MI (DTW)"," 5:33 PM",Aircraft: Boeing 737-900,Stop: 0,66,1,1,Sun 11/15/2020,Sun 11/15/2020,03590B26-590E-4A8F-8AD0-E09B1BF8B6E2
